valor,frecuencia
0,6144
1,4255
2,3196
3,2450
4,2053
5,1953
6,1640
7,1360
8,1088
9,717
10,386
11,192
12,108
13,53
14,41
15,21
16,9
17,9
18,3
20,3
21,3
22,2
25,3
27,1
28,1
84,1
87,1
88,1
90,4
91,2
95,1
96,1
97,1
98,1
101,3
103,3
104,2
105,3
106,3
107,1
109,2
110,1
111,1
112,2
113,3
114,2
115,1
118,1
120,2
123,1
124,1
125,1
126,1
128,3
129,1
130,1
131,2
133,4
134,1
135,5
136,3
137,2
138,3
139,3
140,4
141,5
142,6
143,7
144,6
145,11
146,17
147,21
148,11
149,25
150,29
151,35
152,64
153,100
154,130
155,225
156,361
157,532
158,871
159,1130
160,1708
161,2317
162,3191
163,4404
164,6002
165,7761
166,9683
167,12558
168,15535
169,19235
170,22683
171,26918
172,30032
173,31005
174,29134
175,24967
176,20368
177,15802
178,12018
179,8399
